TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,qCaretaker,qCareAssistant,PlantDate,DBH,PlotSize,PermitNotes,XCoord,YCoord,Latitude,Longitude,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old),Analysis Neighborhoods
39302,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,399X Treat Ave,10,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/21/1998 12:00:00 AM,8,3x3,Permit Number 40887,6008691.772,2106524.443,37.76460553,-122.4131317,"(37.76460552609833, -122.41313169674713)",8,4,7,28859,19,20
42986,DPW Maintained,Melaleuca linariifolia :: Flaxleaf Paperbark,2X Yale St,4,Sidewalk: Curb side : Cutout,Tree,SFUSD,DPW for City Agency,09/16/2000 12:00:00 AM,3,4x4,Permit Number 42867,6006665.254,2093600.889,37.7290064,-122.4192241,"(37.72900639857967, -122.41922408324253)",9,3,7,309,5,7
39264,DPW Maintained,Prunus cerasifera :: Cherry Plum,540 Delancey St,3,Sidewalk: Curb side : Cutout,Tree,Private,FUF,05-06-1999 00:00,8,3x3,Permit Number 41406,6015215.524,2113624.428,37.78446458,-122.3910639,"(37.784464582904334, -122.39106388910622)",6,2,9,28856,6,8
67596,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',332 Missouri St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,10-05-1992 00:00,13,7x7,Permit Number 31163,6013456.333,2105513.799,37.76209684,-122.3965814,"(37.7620968446271, -122.39658138813854)",10,3,8,28856,29,26
108501,Permitted Site,Agonis flexuosa :: Peppermint Willow,1221 14th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/23/2014 12:00:00 AM,3,3x3,Permit Number 773645,5991730.304,2107117.255,37.76526644,-122.4718395,"(37.765266437097786, -122.47183952323181)",11,8,11,56,12,14
68953,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,750 23rd Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/29/1993 12:00:00 AM,3,3x3,Permit Number 32942,5988850.381,2110206.211,37.77358081,-122.4820267,"(37.773580805255946, -122.48202668229888)",11,6,2,55,26,29
254768,Permitted Site,Lagunaria patersonii :: Primrose Tree,415 Victoria St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,03/28/2018 12:00:00 AM,3,3x3,Permit Number 781626,5993212,2089957,37.71823433,-122.465468,"(37.7182343284954, -122.46546802370023)",9,8,6,64,24,24
63239,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,3620-3622 20th St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/22/2014 12:00:00 AM,3,3x3,Permit Number 773724,6006149.849,2104367.479,37.75853998,-122.4217703,"(37.75853998023664, -122.4217703229094)",2,4,5,28859,19,20
37104,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1215 48th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,06-01-1998 00:00,7,3x3,Permit Number 39702,5981158.635,2106766.38,37.76368568,-122.5083777,"(37.763685677250876, -122.50837772313446)",1,8,3,56,35,35
102078,Permitted Site,Rhamnus alaternus :: Italian Buckthorn,35 Highland Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/18/2012 12:00:00 AM,3,3x3,Permit Number 769728,6005184.6,2096720.6,37.73748893,-122.4245646,"(37.7374889299957, -122.42456464703723)",2,7,5,28859,2,2
40288,Permitted Site,Melaleuca quinquenervia :: Cajeput,3698X 24th St,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,06/18/2012 12:00:00 AM,3,3x3,Permit Number 769037,6005153.622,2101950.329,37.75184682,-122.4250437,"(37.751846821706735, -122.42504374448967)",2,4,5,28859,19,20
93869,DPW Maintained,Ceanothus 'Ray Hartman' :: California Lilac 'Ray Hartman',400-422X Tocoloma Ave,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/24/2014 12:00:00 AM,3,3x3,Permit Number 773818,6012466.999,2086683.83,37.71033858,-122.3986817,"(37.7103385819422, -122.39868166034282)",10,3,8,309,1,1
95761,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,211 Moscow St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,09-07-2011 00:00,3,3x3,Permit Number 767498,6004841.335,2091865.699,37.72413906,-122.4254061,"(37.724139060046824, -122.42540608153178)",9,7,6,28861,5,7
95829,DPW Maintained,Olea europaea :: Olive Tree,174 Langton St,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,08/29/2011 12:00:00 AM,4,3x3,Permit Number 767563,6010460.234,2110421.601,37.77540535,-122.4072898,"(37.77540534682696, -122.40728978031676)",8,2,9,28853,34,34
